tab,io_id,name,path_or_pattern,format,storage_scope,model_layer,direction,producer,consumer,required,generated_or_manual,owner_team,lifecycle,schema_or_key_columns,units,temporal_resolution,spatial_resolution,sector_technology_resolution,source_or_provenance,placeholder_status,validation_rules,interpretation_notes,quality_caveats,used_by_code,related_artifacts,example_values,update_frequency,expert_action_required
Outputs,OUT-026,Job info/list API response,GET /api/jobs and POST /api/jobs response,JSON API response,API response,Runtime orchestration,output,backend/api_service/jobs.py,Frontend job queue/status UI,Yes,Generated dynamically,Backend,Per job/list request,job_id; status; progress; stage; message; queue_position; created_at; started_at; finished_at; updated_at; worker_pid; error; request; artifacts; summary,timestamps; progress share,job lifecycle,not spatial except nested summary,not sector-specific except nested summary,Job manager state plus run artifacts,None,Must satisfy JobInfo/JobListResponse schema,Tracks asynchronous run execution and exposes final summary/artifacts.,"If summary is large, frontend performance should be watched.",backend/api_service/schemas.py; backend/api_service/jobs.py,IN-001; OUT-009; OUT-027,status=running; stage=solve_energy,During and after runs,Frontend should handle queued/running/failed/complete states explicitly.
Outputs,OUT-027,Environment setup/readiness report,GET /api/environment-setup,JSON API response,API response,Runtime validation,output,runner.build_environment_setup_report,Frontend setup checklist and developers,Yes for diagnostics,Generated dynamically,Backend/devops,On request,ok; generated_at_utc; energy_scenario_key; mrio_scenario_id; target_year; run_profile; strict_validation; allow_placeholder_data; solver_requested/resolved; development_engine; queue; mario_inputs; checks[]; warnings[]; errors[],mixed metadata/counts,run_profile subset windows; target year,global readiness; validates selected scenario geographies,mapping coverage and tech counts where available,"Settings, files, scenario package validation, MARIO health",Flags placeholder data and strict validation status,Errors block readiness; checks categorized calliope/controls/runtime/mario,Explains whether a run is likely to execute before submission.,A passing readiness report still does not validate scientific calibration quality fully.,backend/api_service/runner.py; backend/api_service/main.py,IN-001; IN-003 to IN-042,checks.name=calliope_model; status=ok,Before runs and troubleshooting,Use in UI to surface blockers before users spend time on runs.
Outputs,OUT-028,MARIO runtime log,outputs/runs/<run_id>/exchange/mario_runner.log,JSON/log text,run_artifact exchange,Development/MRIO diagnostics,output,mario_runtime.write_runtime_log / runner,Backend/MRIO analysts,Yes for debugging when MARIO stage runs,Generated per run,Backend/MRIO,One per run,"runtime metadata, warnings, errors, paths, timing depending writer payload",metadata/counts,run time,not spatial except nested diagnostics,not sector-specific except nested diagnostics,MARIO runtime stage,None,Should be parseable if JSON log; retain errors/warnings,Debug log for development engine execution.,Not a stable user-facing API contract.,backend/api_service/mario_runtime.py; backend/api_service/runner.py,OUT-017; OUT-018; OUT-020,mario_runtime_executed=true,Every MARIO run,Keep enough diagnostics to reproduce runtime failures.
Outputs,OUT-029,Scenario provenance panel data,integrated_results.json.scenario_provenance and summary.scenario_package,JSON object,run_artifact nested object,Frontend provenance,output,integrated.build_integrated_results,Frontend results UI,Yes,Generated per run,Backend/frontend,Nested per run,package; report_source; energy_scenario_key; mrio_scenario_id; target_year; levers; geography_alignment,metadata,target year/profile,MRIO and Calliope locations,not sector-specific,Scenario package and coupling manifest,None,Should mirror OUT-001 and OUT-020,Provides UI-ready provenance for what scenario was run and where assumptions came from.,"Should not duplicate contradictory fields; if conflict, scenario_package should be canonical.",backend/api_service/integrated.py; frontend/app.jsx,OUT-001; OUT-020; OUT-021,mrio_direct.report_source.source_sha256,Every run,Use this for dashboard provenance rather than reconstructing from scattered fields.
Outputs,OUT-030,Frontend derived map selection/filter layer,Rendered in browser from frontend/geo assets plus summary/integrated result data,In-memory GeoJSON/features/UI state,frontend_runtime,Frontend GIS/results,output,frontend map code,"User, all dashboard tabs, chart filters",Yes for interactive dashboard filtering,Generated client-side,Frontend/GIS,Per page load/run selection,feature geometry; join keys; selected country/subregion; derived Voronoi polygons from centroid points where needed; metric values by selected variable,map metric units vary by selected variable; lon/lat geometry,static geometry plus selected run target year,country/subcountry/location/pool depending available geometry and metric_resolution,selected metric may be tech/sector aggregated,GeoJSON/TopoJSON assets plus run results,Placeholder if using edim_locations_placeholder centroid/Voronoi approximations,Feature join keys must match result records; selected highlight should emphasize selected country/subregion; metric_resolution must govern filtering,"Provides spatial interaction, highlighting, and chart filtering across the dashboard.","Voronoi areas from centroids are representative visual regions, not administrative boundaries.",frontend/app.jsx,IN-037 to IN-040; OUT-009; OUT-021; OUT-034,selected_geo=ZAF; variable=emissions_tco2,Each UI session,Replace placeholder centroid Voronoi with authoritative boundaries when procured.
Outputs,OUT-031,Frontend rendered dashboard panels,Browser DOM from frontend/app.jsx using API payloads,HTML/React UI state,frontend_runtime,Frontend dashboard,output,frontend/app.jsx,End user,Yes for app usability,Generated client-side,Frontend/design,Per UI session,"panels for integrated scenario definition, global/regional/country boxes, map, source-channel comparison, bridge inputs, MRIO-direct assumptions, overlap warning, charts",mixed units shown by panel,selected run target year,global/regional/country/subcountry depending filters,technology/supplier sector/indicator depending panel,API responses and static frontend assets,"None, but can display placeholder warnings",Must not call hooks conditionally; charts should respect selected geography and metric_resolution,Primary user interpretation surface for model outputs.,UI can mislead if it hides global-only metrics or source-channel overlap warnings.,frontend/app.jsx; frontend/index.html,OUT-009; OUT-021; OUT-026; OUT-027; OUT-030,Generation by technology; Capacity; Development impacts,Each UI session,Design/frontend team should keep dashboard non-scroll-first and clear about resolution/source channels.
Outputs,OUT-032,Source channel comparison object,integrated_results.json.source_channels,JSON object,run_artifact nested object,Integrated results/development,output,integrated.build_integrated_results,Frontend source-channel comparison panel,Yes,Generated per run,Backend/MRIO/frontend,Nested per run,bridge; mrio_direct; selected_totals; combined_totals; overlap_diagnostics,jobs; million USD; metadata,target year,MARIO regions,supplier sectors,development_impacts combined payload,MRIO-direct heuristic v1,Must expose overlap_diagnostics and selected_totals source,Shows bridge-derived vs MRIO-direct results side by side and the temporary overlap policy.,combined_totals may be useful diagnostically but should not be confused with authoritative headlines.,backend/api_service/integrated.py,OUT-018; OUT-021,selected_totals_source=bridge,Every run,Keep warning copy explicit until merge logic is removed.
Outputs,OUT-033,Model quality object,integrated_results.json.model_quality,JSON object,run_artifact nested object,Quality diagnostics,output,integrated._build_model_quality,"Frontend quality panel, reports",Yes,Generated per run,Backend + scientific leads,Nested per run,status; score; summary; issues[]; flags including mrio_direct_heuristic,score 0-100; severity labels,run-level,"global quality assessment, with issue-specific scope",not sector-specific unless issue text says so,"Integrated results, diagnostics, coupling manifest, indicator availability",Flags placeholder/heuristic/fallback status,"If mrio_direct_heuristic true, status cannot exceed analyst_review",Summarizes whether outputs are ready for analyst review or production-like interpretation.,A single score is reductive; always inspect issues list.,backend/api_service/integrated.py,OUT-020; OUT-021; OUT-037,status=analyst_review; issue.code=mrio_direct_heuristic,Every run,Add domain-specific validation tests as model matures.
Outputs,OUT-034,Metric resolution object,integrated_results.json.metric_resolution,JSON object,run_artifact nested object,Resolution metadata,output,integrated._build_metric_resolution_payload,Frontend filtering logic and reports,Yes,Generated per run,Backend/frontend,Nested per run,records[].metric_id; label; native_resolution; filtered_resolution; filter_policy; caveats,metadata,run-level,global/location/location_or_pool/region/region_supplier/pool depending metric,metric-specific,Hard-coded/curated metadata in integrated builder,None,Frontend should use this to prevent false country filtering for global-only metrics,Explains which outputs can be filtered to selected country/subcountry and which must stay in global boxes.,Must be maintained as new charts/metrics are added.,backend/api_service/integrated.py; frontend/app.jsx,OUT-009; OUT-021; OUT-030; OUT-031,metric_id=system_cost; native_resolution=global,Every run,Keep aligned with every dashboard chart and data card.
Outputs,OUT-035,Baseline comparison object,integrated_results.json.baseline_comparison,JSON object,run_artifact nested object,Integrated analysis,output,integrated.build_baseline_comparison,Frontend comparison panels and report,Optional/conditional,Generated when baseline context available,Backend/product,Nested per run,baseline scenario reference; metric deltas; percentage changes depending implementation,mixed units and percentages,target year/profile,same as compared metrics,same as compared metrics,Current run summary plus baseline summary if available,None,Should clearly identify baseline source and missing baseline conditions,Shows change vs a baseline scenario when available.,Invalid if baseline run/scenario differs in geography/profile in a way not disclosed.,backend/api_service/integrated.py,OUT-009; OUT-021,delta_jobs_total; delta_emissions,When baseline exists,Define canonical baseline selection for each report scenario.
Outputs,OUT-036,Regional/supplier development records,"development_impacts.by_region, by_supplier_sector, by_region_supplier and integrated regional_development",JSON arrays nested in outputs,run_artifact nested object,Development/MRIO,output,mario_runtime or surrogate development builder,Frontend charts and filters,Yes,Generated per run,Backend/MRIO,Nested per run,region; supplier_sector; shock_value_musd; jobs_direct; jobs_total; gva_total_musd; household_income_proxy_musd,jobs; million USD,target year/reference year context,MARIO region,supplier sector,Bridge shocks plus intensity tables; MRIO-direct has separate source channel records,Depends on input calibration,Records sorted/truncated to configured max rows; region UNKNOWN should be treated as a data issue,Supports development impacts by supplier sector and geography.,Uniform values can indicate fallback intensities or mapping gaps; investigate diagnostics.,backend/api_service/mario_runtime.py; backend/api_service/runner.py,OUT-018; OUT-021; OUT-031,region=ZAF; supplier_sector=Electrical_equipment,Every run,Keep regional mappings and intensities calibrated to avoid false precision.
Outputs,OUT-037,Development indicators object,integrated_results.json.development_indicators and summary.development_indicators,JSON object,run_artifact nested object,Integrated indicators,output,integrated indicator builder,Frontend indicator panels and report,Optional but expected for complete dashboard,Generated per run,Backend/development analysts,Nested per run,"records[]; available_count; unavailable_count; warnings; each record indicator_id, indicator_name, driver_metric, value, unit, source_paths/status",indicator-specific,target year with lag_years metadata,indicator-specific,indicator-specific,development_indicator_mapping plus integrated result metrics,Can include unavailable indicators if mapping not supported,Unavailable count should be exposed; model_quality uses it,Translates raw model metrics into named development indicators.,Indicator interpretation depends on mapping quality and assumptions; not all indicators are directly modeled.,backend/api_service/integrated.py; backend/api_service/mario_runtime.py,IN-035; OUT-021; OUT-033,indicator_id=jobs_total; value=...,Every run if mapping exists,Development team should keep indicators traceable and avoid unsupported claims.
Outputs,OUT-038,Selected scenario assumptions object,summary.scenario_assumptions,JSON object,run_artifact nested object,Integrated assumptions,output,mario_runtime.load_scenario_assumptions via runner/integrated,Frontend provenance/reporting,Optional but useful,Generated per run,Backend/MRIO analysts,Nested per run,path; exists; requested_scenario; run_year; records[]; selected_values; selected_count; placeholder counts/examples,varies by assumption,effective_year/run_year,scenario/global unless assumption-specific,not necessarily sector-specific,inputs/mario_inputs/scenario_assumptions.csv,Flags placeholders,Selected exact scenario over baseline/default; placeholder row counts preserved,Shows which non-energy assumption table rows were selected.,This is separate from DOCX report-derived MRIO-direct assumptions.,backend/api_service/mario_runtime.py; backend/api_service/integrated.py,IN-034; OUT-009; OUT-021,selected_values.carbon_price_policy,Every run or integrated build,Clarify relationship to report-derived assumptions in UI copy.
Outputs,OUT-039,Development confidence object,integrated_results.json.development_confidence,JSON object,run_artifact nested object,Quality/runtime diagnostics,output,integrated.build_integrated_results,Frontend diagnostics and reports,Yes,Generated per run,Backend,Nested per run,coupling_mode; mapping_coverage_share; fallback_mapping_share; warnings_count; mario_runtime_executed; mario_runtime_seconds; development_indicators_available_count; mrio_direct_method; selected_totals_source; temporary_overlap_policy and related fields,shares; seconds; counts,run-level,global diagnostic,mapping-level,Coupling manifest and development diagnostics,Flags heuristic and fallback behavior,Should include temporary overlap policy when active,Compact confidence/diagnostics block for development results.,Not a substitute for detailed model_quality issues.,backend/api_service/integrated.py,OUT-020; OUT-021; OUT-033,selected_totals_source=bridge,Every run,Frontend should surface this near development impact charts.
Outputs,OUT-040,Rendered architecture tab,Second top-level EDIM web app tab loading architecture.html/js/spec,HTML/JS rendered UI,frontend_runtime,Architecture documentation UI,output,frontend/architecture.js plus app tab integration,Project team users,Optional for model execution; required for project handoff UI,Generated client-side from static spec,Frontend/design/architecture,Per UI session,"architecture sections, diagrams, design spec content",documentation metadata,not model time data,system-wide,not sector-specific,architecture.spec.json and architecture.js/html assets,Not model data,Spec JSON must parse; tab routing should not break dashboard hooks,Provides in-app technical architecture/design reference for teams carrying the project forward.,Can drift from code if not updated with implementation changes.,frontend/app.jsx; frontend/architecture.js; frontend/architecture.html,IN-041,Top-level tab = Architecture,Whenever app architecture changes,Make documentation updates part of feature completion criteria.
